Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Cameron Payne,,1.4,0.8,0.5,-0.3
Richie Frahm,78.4,1.5,1,0.5,-0.2
Tommy Kron,78.0,1.3,0.8,0.8,-0.3
Salim Stoudamire,70.9,1.2,0.8,0.3,NA
Vonteego Cummings,70.3,1.3,0.6,0.2,NA
Dante Exum,70.1,1.2,1,0.7,-0.1
Steve Alford,68.3,1.4,0.9,0.6,0.3
Terence Stansbury,67.0,1.5,0.6,0.3,NA
Mike Flynn,64.8,1.7,0.8,0.3,NA
Mel Peterson,64.8,1.3,1,0,-0.2
Ray McCallum,63.9,1.4,0.4,0.3,NA
