Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Cameron Payne,,1.4,0.8,0.5,-0.3
Richie Frahm,78.4,1.5,1,0.5,-0.2
Tommy Kron,78.0,1.3,0.8,0.8,-0.3
Nick Jones,74.0,1.3,0.7,0.2,-0.2
Earl Boykins,72.2,1,0.8,0.3,-0.3
Patty Mills,71.5,1.5,0.9,0.7,0
Salim Stoudamire,70.9,1.2,0.8,0.3,NA
Chris Douglas-Roberts,70.4,1.6,0.7,0.6,0.1
Vonteego Cummings,70.3,1.3,0.6,0.2,NA
Dante Exum,70.1,1.2,1,0.7,-0.1
Keith Askins,69.9,1.4,0.7,0.6,0.3
