Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Allan Houston,,8.6,7.5,7.2,7.1,6.1,4.7,4.7,3.8,3.1,2.9,0.7,-1.2
Alvin Robertson,90.0,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,NA,NA
Fred Brown,89.2,8.8,7.9,6.7,6.4,6.1,5.2,5.2,4.9,3.9,3.6,2.8,-0.9
Andy Phillip,89.0,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,NA,NA
Carl Braun,88.8,9,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3,0.4
Tom Gola,88.6,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,NA,NA
George Hill,88.5,9.7,7.8,6.7,6.2,6.1,5.9,5.4,4,3.2,2.8,2.1,NA
Freddie Lewis,88.4,7.6,7.5,7.3,7.2,6.2,6,5.2,3.2,3,0.5,0,NA
Cuttino Mobley,88.0,8.2,7.6,6.9,5.7,5.3,5.2,4.6,4.4,2.3,2.1,-0.1,NA
Baron Davis,87.7,8.9,8.7,8.2,7.5,6.4,4.5,4.5,4.4,4.4,2.8,2.1,0.6
Jason Richardson,87.6,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3,2.9,2.8,1.4
