Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,28,NYK,NBA,SG,1,0,18:00,3,10,0.3,1,3,0.333,4,4,1,0,0,2,1,0,1,1,11
2000-01,29,NYK,NBA,SG,1,0,15:00,2,5,0.4,1,2,0.5,0,0,NA,0,3,3,0,0,1,0,5
Career,NA,,NBA,,2,0,33,5,15,0.333,2,5,0.4,4,4,1,0,3,5,1,0,2,1,16
