Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Mike Holton,,2.3,1.3,0.8,0.3,0.2,-0.2,NA
A.J. Price,87.6,2.2,1.2,0.7,0.3,0.3,0,NA
Ian Clark,85.8,2.3,1.1,0.9,0.2,-0.1,-0.1,NA
David Nwaba,81.9,2.4,1.4,0.8,NA,NA,NA,NA
Mike Davis,81.4,2.2,1.2,0.9,0.6,NA,NA,NA
Bo Lamar,80.8,2.5,1.5,1,0.5,NA,NA,NA
Courtney Alexander,79.2,2.2,1.1,0.8,NA,NA,NA,NA
Chris Douglas-Roberts,79.2,2.4,1.6,0.7,0.6,0.1,0,NA
Kenny Higgs,78.6,2.2,1.5,1,NA,NA,NA,NA
James Robinson,77.3,2.3,1.9,1.2,0.2,0.2,0,-0.1
Kirk Snyder,76.5,2.2,1.4,1.1,-0.2,NA,NA,NA
