Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Chris Copeland,,2.1,1,-0.1,-0.1,NA
Charlie Hardnett,80.5,2.3,1,-0.3,NA,NA
Derrick Alston,79.5,1.7,1,-0.1,NA,NA
Bernard Thompson,78.4,2.1,0.9,0.2,0.1,0
Jim Bradley,77.4,2.3,1.3,0.1,NA,NA
Bill Bunting,77.2,2,0.7,0,NA,NA
Ryan Kelly,76.8,2.2,0.7,0.1,0.1,NA
Joey Dorsey,75.3,1.9,0.8,0.1,0,NA
Mario Hezonja,70.9,2.3,0.9,-0.1,-0.7,NA
Rudy Macklin,70.9,1.8,1.4,0.1,NA,NA
Derrick Chievous,70.8,1.6,1.2,-0.1,NA,NA
