Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Chris Copeland,,2.1,1,-0.1,-0.1
Bruce Bowen,86.8,2.2,1.2,0,0
Fred Foster,81.0,2.1,1.1,0.4,-0.2
Charlie Hardnett,80.5,2.3,1,-0.3,NA
Derrick Alston,79.5,1.7,1,-0.1,NA
Bernard Thompson,78.4,2.1,0.9,0.2,0.1
Aaron Williams,78.1,1.7,1.1,-0.1,-0.1
Dominic McGuire,77.9,1.7,0.9,0,-0.2
Jim Bradley,77.4,2.3,1.3,0.1,NA
Bill Bunting,77.2,2,0.7,0,NA
Ryan Kelly,76.8,2.2,0.7,0.1,0.1
