Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Kevin Gamble,,8.3,6.7,6.6,3.4,2.1,1.9,1.8,1.6,1,-0.1
LaPhonso Ellis,88.1,8,7.6,5.2,3.6,2.2,1.9,1.4,1,0.8,0
Jim Brewer,83.8,7.9,5.8,4.4,2.6,2.2,2,1.8,1.3,1.3,NA
Drew Gooden,81.9,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7
Carl Landry,81.7,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA
Bob Kauffman,81.4,8,7.9,7.9,3.1,2,1.4,1.2,NA,NA,NA
Sonny Parker,80.7,7,6.8,6.2,3,2.3,1.6,NA,NA,NA,NA
Chuck Hayes,79.8,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5
Jae Crowder,78.7,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA,NA,NA
Ed Pinckney,78.5,7.5,6.2,6.1,4.7,4,2.9,2.7,2.3,1.6,0.3
Kermit Washington,78.5,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1
