Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ben Coleman,,2,1.8,0.8,0.5,0,NA,NA,NA
Donnell Harvey,90.7,2,1.8,0.7,0.2,0.1,NA,NA,NA
Stan Love,89.1,2.2,2.1,0.7,0.6,NA,NA,NA,NA
Solomon Jones,87.8,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
Sam Pellom,84.0,2.2,1.8,0.7,0,NA,NA,NA,NA
Bob Portman,84.0,1.9,1.2,0.8,0.5,NA,NA,NA,NA
Bob Brannum,83.7,2,1.6,1.1,0.8,0,NA,NA,NA
Bill Hewitt,82.5,2.4,1.7,0.8,0.6,-0.1,-0.2,NA,NA
Alaa Abdelnaby,81.3,2.1,2,0.5,0.3,-0.1,NA,NA,NA
Johnny Baum,81.1,2,1.9,1.5,0.4,-0.1,NA,NA,NA
Thomas Robinson,79.1,1.6,1.5,0.9,0.6,-0.1,NA,NA,NA
