Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ben Coleman,,2,1.8,0.8,0.5,0
Solomon Jones,93.6,1.9,1.6,0.8,0.5,0
Donnell Harvey,90.7,2,1.8,0.7,0.2,0.1
Stan Love,89.1,2.2,2.1,0.7,0.6,NA
Wesley Johnson,85.3,1.9,1.7,1.3,0.6,0
Sam Pellom,84.0,2.2,1.8,0.7,0,NA
Bob Portman,84.0,1.9,1.2,0.8,0.5,NA
Bob Brannum,83.7,2,1.6,1.1,0.8,0
Kevin Séraphin,83.5,2.3,1.7,0.8,0.2,0.1
Scott Hastings,82.0,2.1,1.3,0.8,0.4,0.1
Alaa Abdelnaby,81.3,2.1,2,0.5,0.3,-0.1
