Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1969-70,29,CAR,ABA,SG,4,NA,76,2.8,6.6,0.429,0,0.5,0,2.8,6.2,0.462,3.3,4.7,0.7,NA,NA,6.2,3.8,NA,5.2,9
Career,NA,,ABA,,4,NA,76,2.8,6.6,0.429,0,0.5,0,2.8,6.2,0.462,3.3,4.7,0.7,NA,NA,6.2,3.8,NA,5.2,9
