Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,NYK,NBA,SF,77,1696,14.2,0.487,0.289,NA,NA,NA,15.1,NA,NA,NA,NA,NA,1.6,0.6,2.2,0.061,NA,NA,NA,NA,NA
1967-68,23,NYK,NBA,SF,82,2296,16.7,0.514,0.293,NA,NA,NA,12.4,NA,NA,NA,NA,NA,4,1.9,5.9,0.124,NA,NA,NA,NA,NA
1968-69,24,NYK,NBA,SF,50,1645,15.2,0.503,0.299,NA,NA,NA,10.1,NA,NA,NA,NA,NA,2.6,1.5,4.1,0.119,NA,NA,NA,NA,NA
1969-70,25,NYK,NBA,SF,78,1563,16.9,0.53,0.207,NA,NA,NA,12,NA,NA,NA,NA,NA,2.8,2.4,5.2,0.161,NA,NA,NA,NA,NA
1970-71,26,NYK,NBA,SF,57,1056,14.7,0.471,0.236,NA,NA,8.3,10.2,NA,NA,NA,NA,NA,0.3,1.7,2,0.093,NA,NA,NA,NA,NA
1971-72,27,GSW,NBA,SF,79,2902,17.3,0.504,0.25,NA,NA,6.6,13.3,NA,NA,NA,NA,NA,3.7,3.5,7.3,0.12,NA,NA,NA,NA,NA
1972-73,28,GSW,NBA,SF,80,2429,15,0.494,0.168,NA,NA,6.6,10.7,NA,NA,NA,NA,NA,2.5,2.7,5.2,0.104,NA,NA,NA,NA,NA
1973-74,29,GSW,NBA,SF,82,2574,17.6,0.513,0.163,5.3,7.6,6.5,11.3,0.9,0.3,NA,NA,NA,6,1.1,7.1,0.133,NA,2.2,-1.9,0.2,1.5
1974-75,30,LAL,NBA,SF,40,1055,16.5,0.499,0.195,3.1,7.3,5.2,17,1.2,0.1,NA,NA,NA,1.6,0.2,1.8,0.083,NA,1.3,-2,-0.7,0.3
1975-76,31,LAL,NBA,SF,74,1625,14.7,0.504,0.185,3.1,7.6,5.4,11.2,1.4,0.1,NA,NA,NA,2.2,0.9,3,0.09,NA,-0.1,-1.3,-1.4,0.2
1976-77,32,LAL,NBA,SF,82,2583,15.3,0.527,0.186,3.5,8,5.8,11.6,1.5,0.1,NA,NA,NA,4.9,1.7,6.6,0.123,NA,0.9,-1,-0.1,1.3
1977-78,33,CHI,NBA,SF,36,789,11.6,0.479,0.188,4.3,7.1,5.7,11.5,1.1,0.3,9.6,18.6,NA,0.8,0.3,1.1,0.07,NA,-0.7,-1.4,-2.1,0
Career,NA,,NBA,,817,22213,15.8,0.506,0.22,4,7.6,6.3,12.1,1.3,0.2,9.6,18.6,NA,33,18.6,51.7,0.112,NA,1,-1.5,-0.5,3.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,NYK,NBA,,344,8256,15.7,0.504,0.27,NA,NA,8.3,12.1,NA,NA,NA,NA,NA,11.3,8.1,19.4,0.113,NA,NA,NA,NA,NA
3 seasons,NA,GSW,NBA,,241,7905,16.7,0.504,0.195,5.3,7.6,6.5,11.9,0.9,0.3,NA,NA,NA,12.3,7.3,19.6,0.119,NA,2.2,-1.9,0.2,1.5
3 seasons,NA,LAL,NBA,,196,5263,15.3,0.513,0.187,3.3,7.7,5.6,12.5,1.4,0.1,NA,NA,NA,8.6,2.9,11.5,0.105,NA,0.7,-1.3,-0.6,1.8
1 season,NA,CHI,NBA,,36,789,11.6,0.479,0.188,4.3,7.1,5.7,11.5,1.1,0.3,9.6,18.6,NA,0.8,0.3,1.1,0.07,NA,-0.7,-1.4,-2.1,0
