Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,27,GSW,NBA,SF,1,0,20:00,4,13,0.308,2,2,1,NA,1,0,NA,NA,NA,1,10
Career,NA,,NBA,,1,0,20,4,13,0.308,2,2,1,NA,1,0,NA,NA,NA,1,10
