Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,NYK,NBA,SF,4,NA,89,26,66,0.394,10,13,0.769,NA,NA,19,11,NA,NA,NA,16,62
1967-68,23,NYK,NBA,SF,6,NA,209,55,98,0.561,20,24,0.833,NA,NA,23,10,NA,NA,NA,16,130
1968-69,24,NYK,NBA,SF,5,NA,36,5,21,0.238,2,2,1,NA,NA,5,1,NA,NA,NA,4,12
1969-70,25,NYK,NBA,SF,19,NA,306,80,165,0.485,18,19,0.947,NA,NA,47,16,NA,NA,NA,31,178
1970-71,26,NYK,NBA,SF,11,NA,120,25,64,0.391,12,12,1,NA,NA,22,8,NA,NA,NA,14,62
1971-72,27,GSW,NBA,SF,5,NA,161,31,63,0.492,9,12,0.75,NA,NA,22,9,NA,NA,NA,13,71
1972-73,28,GSW,NBA,SF,11,NA,263,72,147,0.49,19,22,0.864,NA,NA,36,17,NA,NA,NA,24,163
1976-77,32,LAL,NBA,SF,11,NA,382,65,157,0.414,44,50,0.88,22,26,48,25,16,1,NA,33,174
Career,NA,,NBA,,72,NA,1566,359,781,0.46,134,154,0.87,22,26,222,97,16,1,NA,151,852
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,NYK,NBA,,45,NA,760,191,414,0.461,62,70,0.886,NA,NA,116,46,NA,NA,NA,81,444
2 seasons,NA,GSW,NBA,,16,NA,424,103,210,0.49,28,34,0.824,NA,NA,58,26,NA,NA,NA,37,234
1 season,NA,LAL,NBA,,11,NA,382,65,157,0.414,44,50,0.88,22,26,48,25,16,1,NA,33,174
