Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,29,GSW,NBA,SF,82,NA,2574,12.6,26.2,0.482,3.6,4.3,0.835,2.4,3.6,6,3.3,0.9,0.3,NA,3.3,28.8,NA,NA,102
1974-75,30,LAL,NBA,SF,40,NA,1055,11.3,24.8,0.455,4.3,4.8,0.894,1.5,3.5,4.9,4.7,1.2,0.1,NA,2.4,26.9,NA,NA,104
1975-76,31,LAL,NBA,SF,74,NA,1625,10.1,21.9,0.463,3.6,4,0.892,1.4,3.6,5,3.3,1.4,0.1,NA,3.3,23.9,NA,NA,102
1976-77,32,LAL,NBA,SF,82,NA,2583,10.3,20.9,0.49,3.3,3.9,0.858,1.5,3.7,5.2,3.7,1.5,0.1,NA,2.9,23.9,NA,NA,102
1977-78,33,CHI,NBA,SF,36,NA,789,8,18.2,0.438,2.9,3.4,0.86,1.9,3.1,5,3.7,1.1,0.2,2.1,3.8,18.9,NA,102,106
Career,NA,,NBA,,314,NA,8626,10.9,23,0.474,3.5,4.1,0.863,1.8,3.6,5.4,3.6,1.2,0.2,0.2,3.1,25.3,NA,102,103
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,196,NA,5263,10.4,22,0.474,3.6,4.1,0.877,1.5,3.6,5.1,3.8,1.4,0.1,NA,2.9,24.5,NA,NA,103
1 season,NA,GSW,NBA,,82,NA,2574,12.6,26.2,0.482,3.6,4.3,0.835,2.4,3.6,6,3.3,0.9,0.3,NA,3.3,28.8,NA,NA,102
1 season,NA,CHI,NBA,,36,NA,789,8,18.2,0.438,2.9,3.4,0.86,1.9,3.1,5,3.7,1.1,0.2,2.1,3.8,18.9,NA,102,106
