Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,NYK,NBA,SF,77,NA,1696,344,789,0.436,179,228,0.785,NA,NA,251,187,NA,NA,NA,174,867
1967-68,23,NYK,NBA,SF,82,NA,2296,551,1192,0.462,282,349,0.808,NA,NA,374,195,NA,NA,NA,223,1384
1968-69,24,NYK,NBA,SF,50,NA,1645,362,804,0.45,191,240,0.796,NA,NA,209,115,NA,NA,NA,140,915
1969-70,25,NYK,NBA,SF,78,NA,1563,385,773,0.498,124,160,0.775,NA,NA,236,135,NA,NA,NA,137,894
1970-71,26,NYK,NBA,SF,57,NA,1056,216,504,0.429,92,119,0.773,NA,NA,192,77,NA,NA,NA,74,524
1971-72,27,GSW,NBA,SF,79,NA,2902,689,1514,0.455,315,378,0.833,NA,NA,428,248,NA,NA,NA,176,1693
1972-73,28,GSW,NBA,SF,80,NA,2429,541,1182,0.458,172,199,0.864,NA,NA,350,187,NA,NA,NA,171,1254
1973-74,29,GSW,NBA,SF,82,NA,2574,738,1531,0.482,208,249,0.835,142,211,353,192,54,17,NA,194,1684
1974-75,30,LAL,NBA,SF,40,NA,1055,264,580,0.455,101,113,0.894,34,81,115,109,27,2,NA,56,629
1975-76,31,LAL,NBA,SF,74,NA,1625,371,802,0.463,132,148,0.892,50,133,183,122,53,3,NA,122,874
1976-77,32,LAL,NBA,SF,82,NA,2583,578,1179,0.49,188,219,0.858,86,208,294,210,86,7,NA,163,1344
1977-78,33,CHI,NBA,SF,36,NA,789,133,304,0.438,49,57,0.86,31,52,83,61,19,4,35,63,315
Career,NA,,NBA,,817,NA,22213,5172,11154,0.464,2033,2459,0.827,343,685,3068,1838,239,33,35,1693,12377
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,NYK,NBA,,344,NA,8256,1858,4062,0.457,868,1096,0.792,NA,NA,1262,709,NA,NA,NA,748,4584
3 seasons,NA,GSW,NBA,,241,NA,7905,1968,4227,0.466,695,826,0.841,142,211,1131,627,54,17,NA,541,4631
3 seasons,NA,LAL,NBA,,196,NA,5263,1213,2561,0.474,421,480,0.877,170,422,592,441,166,12,NA,341,2847
1 season,NA,CHI,NBA,,36,NA,789,133,304,0.438,49,57,0.86,31,52,83,61,19,4,35,63,315
