Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
George Irvine,,5.5,3.7,3.2,2.5,1.2,0,NA
Tom Boswell,90.9,5.6,3.7,2.7,2.4,0.6,0.2,NA
Robert Covington,89.3,6.1,4,3.1,2.5,2,0.1,NA
Scott May,89.1,5.4,4.2,3.1,2.4,2.2,0.1,-0.1
Ronald Franz,86.7,5.9,3.7,3.3,2.2,2.1,0.9,NA
Bob Harris,86.7,5,4.3,3.4,1.9,1,NA,NA
Jim Baechtold,85.9,6,3.2,2.6,2.1,0.9,NA,NA
Monk Meineke,85.4,6.1,3.7,2.6,1.8,0.7,NA,NA
Aaron Gordon,85.1,5.4,5.1,3.7,2.9,1,NA,NA
Julius Keye,85.0,5.3,4.3,3.6,3.6,1.2,-0.2,NA
Kyle Anderson,84.3,6.2,3.5,2.7,2.7,0.3,NA,NA
