Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Calvin Murphy,,9.2,8.8,8.3,8,7.7,7.4,7.4,7.2,6.8,5.4,5,1.6,1.3
Bob Cousy,92.8,8.8,8.7,8.1,7.8,7.8,7.7,7.2,7.2,6.8,6.3,5.4,5.2,3.9
Earl Monroe,92.2,9.3,8.8,8.3,7.8,7.8,7.2,7.1,6.6,5.8,2.8,2.5,2.5,1.1
Andre Miller,91.8,10.3,8.8,8.8,8.3,8,7,7,7,6.2,5.9,5.3,4.6,2.9
Jason Terry,91.3,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,3.8,1.9
Andre Iguodala,89.6,9.6,9.2,7.7,7.5,7.3,6.9,6.7,6.7,6.6,5.8,5.6,5.1,4.4
Joe Dumars,89.4,9.9,9.1,8.8,8.7,8.2,7,6,5.9,5.9,4.4,4.2,3.2,1.7
Isiah Thomas,89.3,11.2,9.1,8.8,7.6,7.6,7.4,7,6.7,5.8,3.7,3.4,2.3,0.2
Tony Parker,89.2,9.6,9.6,9.3,8.6,8.2,8.1,7.7,7.5,7.1,7,5.9,3.8,3.6
Derek Harper,88.8,9.9,9.4,9.1,8,7.6,6.4,6.3,6.2,5.4,4,3.5,2.7,1.3
Rod Strickland,88.1,9.3,8.8,8.5,8.1,7.4,7.1,5.7,5.2,4.3,4.1,3.7,3.7,2.2
