Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ray McCallum,,1.4,0.4,0.3,NA
Terence Stansbury,85.4,1.5,0.6,0.3,NA
Vonteego Cummings,83.7,1.3,0.6,0.2,NA
Treveon Graham,74.7,1.8,0.5,0.4,NA
Nate Hawthorne,72.3,1.1,0.5,0.1,NA
Kelvin Upshaw,72.1,1,0.3,0.3,NA
Chris Corchiani,71.4,0.9,0.4,0.3,NA
Lowes Moore,71.3,1.1,0.2,0.2,NA
Salim Stoudamire,70.8,1.2,0.8,0.3,NA
Gerald Glass,69.9,0.9,0.5,0.3,0.1
Patrick McCaw,69.5,1.7,0.6,0.5,NA
