,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,23,WAS,NBA,SF,10,247,,,88%,12%,1%,-1.1,+3.1,5,4,15,2,9,0,42,3,4
2005-06,24,WAS,NBA,PF,6,215,,,,71%,29%,-1.0,-6.6,2,7,8,2,8,5,21,1,5
2010-11,29,NYK,NBA,PF,4,85,,,,47%,53%,-8.4,+1.7,1,2,3,0,1,0,3,0,3
2011-12,30,NYK,NBA,PF,5,34,,,,51%,49%,-26.7,-11.8,1,0,2,0,0,1,0,0,0
Career,,,NBA,,25,581,,,37%,41%,22%,-3.7,-1.6,9,13,28,4,18,6,66,4,12
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,WAS,NBA,,16,462,,,47%,39%,14%,-1.1,-1.4,7,11,23,4,17,5,63,4,9
2 seasons,,NYK,NBA,,9,119,,,,48%,52%,-13.6,-2.1,2,2,5,0,1,1,3,0,3
