Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
LaRue Martin,,1.9,0.4,0.1,-0.4,NA,NA
Chris Anstey,64.5,1.9,0.6,0.3,NA,NA,NA
John Shasky,61.8,1.9,0.7,-0.1,NA,NA,NA
Bevo Nordmann,61.7,1.7,0.1,0.1,0,NA,NA
Mike Novak,60.8,1.8,0.6,-0.2,NA,NA,NA
Sean Williams,55.7,2.5,0.4,0.3,-0.2,NA,NA
George Johnson,50.4,2.4,0.3,0.2,0.1,NA,NA
Wang Zhizhi,47.6,1.5,0.2,0.1,0.1,0.1,NA
Zendon Hamilton,45.9,1.8,1.1,0.1,0.1,0,0
Audie Norris,44.8,1.9,1.1,-0.1,NA,NA,NA
Josh Harrellson,42.3,1.4,0.7,0,NA,NA,NA
