Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Greg Ballard,,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7,0,NA,NA,NA,NA
Wally Szczerbiak,92.8,8.7,8,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,NA,NA,NA,NA,NA
Danilo Gallinari,91.8,8.2,7.2,6.8,6.3,6.1,5.6,3.9,3.9,1.2,1,NA,NA,NA,NA,NA
Rodney McCray,90.9,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,NA,NA,NA,NA,NA
Jack Marin,90.0,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,NA,NA,NA,NA
Mike Mitchell,89.9,8.3,7.6,6,6,5.9,5.5,4.4,3.6,2.4,0.4,NA,NA,NA,NA,NA
Troy Murphy,89.4,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3,0.3,NA,NA,NA
Truck Robinson,89.0,7.6,7.3,6.9,6.5,6,5.1,4.3,3.3,3.2,2.7,-0.1,NA,NA,NA,NA
Mickey Johnson,88.3,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,1.8,0.7,NA,NA,NA
Bill Bridges,88.0,8.6,7.6,6.7,6.7,6.6,6.5,3.9,3.9,3.1,2.8,2.6,0.6,0.2,NA,NA
Danny Manning,87.3,9.8,7.9,6.5,5.3,5.2,5.2,3.5,3.4,2.6,2.6,1,0.8,0.7,0.4,0.2
