Season,Team,Lg,Salary
1993-94,Los Angeles Lakers,NBA,"$1,100,000"
1994-95,Los Angeles Lakers,NBA,"$1,900,000"
1995-96,Los Angeles Lakers,NBA,"$1,900,000"
1996-97,Los Angeles Lakers,NBA,"$1,900,000"
1997-98,Los Angeles Lakers,NBA,"$1,900,000"
1998-99,Denver Nuggets,NBA,"$1,900,000"
1999-00,Denver Nuggets,NBA,"$8,354,614"
2000-01,Denver Nuggets,NBA,"$9,200,000"
2001-02,Denver Nuggets,NBA,"$10,164,642"
2002-03,Dallas Mavericks,NBA,"$11,061,234"
2003-04,Golden State Warriors,NBA,"$11,956,625"
2004-05,Portland Trail Blazers,NBA,"$11,933,252"
2005-06,San Antonio Spurs,NBA,"$1,138,500"
Career,(may be incomplete),,"$74,408,867"
