Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Nick Van Exel,,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4,3.4,2.2,1.6,1.4,1.2
Damon Stoudamire,92.5,7.6,6.7,6.6,6.1,5.9,5.7,4.7,4.3,3.6,1.7,1.6,1.1,-0.1
Brad Davis,91.8,7.4,7.3,6.2,6.2,5.4,4.2,4,3.9,2.9,2.7,0.6,0.6,0.3
J.J. Redick,91.2,6.7,6.7,6.6,6.5,5.9,5.2,4.8,4.5,4.5,3,2.3,1.7,0.5
Lou Williams,91.0,6.7,6.6,6.1,6.1,5.2,5.1,4.7,4.4,3.4,2.6,2.4,1.1,-0.1
Jason Richardson,90.9,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3,2.9,2.8,1.4,0.4
Dick McGuire,90.3,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4,4,2.1,1.3,NA,NA
David Wesley,90.3,7.6,7,6.3,6.1,6.1,5.8,5.2,4.8,3.6,2.8,2.6,2.6,0.6
Muggsy Bogues,89.7,8.6,6.7,6.4,5.9,5,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0
Latrell Sprewell,89.1,8.1,8,6.6,5.7,5.5,5.1,4,3.2,3,2.8,2,1.9,0.4
Tyrone Corbin,88.9,6.8,6.7,5.6,5.5,5.4,5.4,5,4.4,3,2.5,2.1,1.2,0.1
