Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,NA,DLC,ABA,PF,69,NA,1562,5.2,13.4,0.389,0,0,0.5,5.2,13.3,0.389,3.8,6.1,0.615,NA,NA,10.4,1.3,2.9,4.8,14.2
Career,NA,,ABA,,69,NA,1562,5.2,13.4,0.389,0,0,0.5,5.2,13.3,0.389,3.8,6.1,0.615,NA,NA,10.4,1.3,2.9,4.8,14.2
