Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Gary Payton,,0.2,0.1,-0.2
Dave Jamerson,59.3,0.2,0.1,-0.1
Demetrius Jackson,59.0,0.2,0.1,-0.1
Charles Bradley,37.9,0.2,0.2,-0.1
Brad Holland,20.0,0.3,0.1,-0.1
A.J. Guyton,17.9,0.3,0.1,-0.1
Elijah Millsap,17.9,0.4,0.1,-0.1
Jay Arnette,11.8,0.1,0.1,-0.1
Mike Price,10.2,0.2,0.2,0.1
Awvee Storey,10.2,0.2,0.1,0
Billy Thomas,8.1,0.4,0.2,-0.1
