Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Gary Harris,,5.5,4.6,4,2.6,-0.7,NA,NA,NA,NA
Jim Seminoff,88.5,5.4,4.5,3.6,3.4,NA,NA,NA,NA,NA
Bob Donham,86.1,6.1,4.5,3.8,3.5,NA,NA,NA,NA,NA
Dean Meminger,83.0,5,4.4,3.9,2.2,1,0.2,NA,NA,NA
Lewis Lloyd,80.2,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA
Josh Richardson,79.3,5.6,5.4,2.5,2.2,NA,NA,NA,NA,NA
Kenny Sailors,78.5,5.2,4.9,3.7,1.7,1.6,NA,NA,NA,NA
Charles Dudley,75.8,4.6,4,3.6,1.6,0.2,-0.1,NA,NA,NA
Wilbur Holland,74.3,5.9,4.4,3.8,-0.1,NA,NA,NA,NA,NA
Mitchell Wiggins,74.1,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA
Frank Selvy,73.7,5.5,4.1,3.6,2.4,2.3,0.6,0,-0.6,NA
