Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Gary Harris,,5.5,4.6,4,2.6,-0.7
Jim Seminoff,88.5,5.4,4.5,3.6,3.4,NA
Gene Shue,88.5,5.6,4.6,4.6,2.4,0.4
Lewis Lloyd,87.4,6.3,4.7,4.6,2.6,0.1
Jodie Meeks,86.4,5.1,4.5,4.1,3,0.9
Bob Donham,86.1,6.1,4.5,3.8,3.5,NA
Hubert Davis,84.5,5.6,4.8,4.2,1.2,0.1
Jeremy Lin,84.4,5.4,4.4,2.7,2.7,0.5
Rory Sparrow,84.4,5.6,4.3,4.2,4.2,-0.1
Dean Meminger,83.8,5,4.4,3.9,2.2,1
Bonzi Wells,82.7,6,5.9,4,3.1,0.1
