Season,Team,Lg,Salary
1995-96,Phoenix Suns,NBA,"$628,000"
1996-97,Dallas Mavericks,NBA,"$723,000"
1997-98,Dallas Mavericks,NBA,"$816,840"
1998-99,Dallas Mavericks,NBA,"$6,000,000"
1999-00,Dallas Mavericks,NBA,"$7,200,000"
2000-01,Dallas Mavericks,NBA,"$8,400,000"
2001-02,Dallas Mavericks,NBA,"$10,625,000"
2002-03,Dallas Mavericks,NBA,"$11,953,125"
2003-04,Dallas Mavericks,NBA,"$13,281,250"
2004-05,Dallas Mavericks,NBA,"$14,609,375"
2005-06,Dallas Mavericks,NBA,"$15,937,500"
2005-06,San Antonio Spurs,NBA,"$2,675,000"
2006-07,Dallas Mavericks,NBA,"$16,141,999"
2006-07,San Antonio Spurs,NBA,"$2,889,000"
2007-08,Dallas Mavericks,NBA,"$18,593,750"
2007-08,San Antonio Spurs,NBA,"$3,103,000"
2008-09,San Antonio Spurs,NBA,"$2,500,000"
2009-10,San Antonio Spurs,NBA,"$2,500,000"
Career,(may be incomplete),,"$138,576,839"
