Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1960-61,22,BOS,NBA,SF,10,NA,216,37,75,0.493,15,24,0.625,84,7,42,89
1961-62,23,BOS,NBA,SF,14,NA,439,56,130,0.431,29,36,0.806,115,14,65,141
1962-63,24,BOS,NBA,SF,13,NA,387,52,119,0.437,24,31,0.774,96,19,61,128
1963-64,25,BOS,NBA,PF,10,NA,302,34,94,0.362,23,34,0.676,68,6,45,91
1964-65,26,BOS,NBA,PF,12,NA,365,64,152,0.421,31,43,0.721,102,19,58,159
1965-66,27,BOS,NBA,PF,17,NA,500,97,201,0.483,36,48,0.75,110,27,70,230
1966-67,28,BOS,NBA,SF,9,NA,144,21,61,0.344,2,5,0.4,43,5,31,44
1967-68,29,BOS,NBA,SF,14,NA,289,50,99,0.505,16,21,0.762,63,12,53,116
1968-69,30,BOS,NBA,SF,15,NA,197,32,73,0.438,23,31,0.742,48,7,40,87
1971-72,33,BOS,NBA,SF,11,NA,186,17,53,0.321,13,21,0.619,26,10,36,47
1972-73,34,BOS,NBA,SF,5,NA,24,5,9,0.556,0,2,0,5,1,7,10
Career,NA,,NBA,,130,NA,3049,465,1066,0.436,212,296,0.716,760,127,508,1142
