,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1960-61,22,BOS,NBA,,10,14,4,6,,4,6,22
1961-62,23,BOS,NBA,,8,15,6,7,15,4,6,20
1962-63,24,BOS,NBA,,9,19,5,7,14,,6,18
1963-64,25,BOS,NBA,,5,14,6,7,15,,6,15
1964-65,26,BOS,NBA,,11,21,5,7,15,4,6,25
1965-66,27,BOS,NBA,,12,,7,8,,,,28
1966-67,28,BOS,NBA,,4,,2,3,,,,10
1967-68,29,BOS,NBA,,7,,5,8,,,6,18
1968-69,30,BOS,NBA,,7,11,5,6,12,2,5,18
1971-72,33,BOS,NBA,,3,8,3,4,5,3,5,9
1972-73,34,BOS,NBA,,3,5,0,2,3,1,4,6
Career,,,,,12,,7,8,,,,28
