,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1960-61,22,BOS,NBA,,8,,6,7,,,6,20
1961-62,23,BOS,NBA,,13,,12,,,,,30
1962-63,24,BOS,NBA,,12,,9,11,,,,27
1963-64,25,BOS,NBA,,10,,8,10,,,,24
1964-65,26,BOS,NBA,,10,,9,11,,,,23
1965-66,27,BOS,NBA,,12,,8,10,,,,27
1966-67,28,BOS,NBA,,11,,8,9,,,,22
1967-68,29,BOS,NBA,,11,,9,10,,,,25
1968-69,30,BOS,NBA,,12,,10,11,,,,27
1969-70,31,BOS,NBA,,9,,10,11,,,,24
1970-71,32,BOS,NBA,,4,7,2,3,4,,4,10
1971-72,33,BOS,NBA,,6,,5,5,,,,15
1972-73,34,BOS,NBA,,4,,4,4,,,,10
Career,,,,,13,,12,,,,,30
