Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Willie Murrell,,7,4.6,3.1,NA,NA,NA,NA
Bones McKinney,93.2,7.1,4.9,3.3,0.2,0,-0.2,NA
Howie Dallmar,85.9,7,5.9,2.2,NA,NA,NA,NA
Dino Rađa,84.9,5.9,4.5,4,-0.2,NA,NA,NA
Ernie Vandeweghe,80.3,7.1,4.8,3.9,2.1,0.3,-0.1,NA
Gary Bradds,79.9,8,3.6,3.4,0.5,0.3,0,NA
Domantas Sabonis,79.6,7.6,4.7,0.8,NA,NA,NA,NA
Jamario Moon,78.9,5.7,4.9,2.9,1.1,-0.3,NA,NA
Maurice Stokes,78.7,6,5.5,4.5,NA,NA,NA,NA
Jerami Grant,78.6,7.3,5.4,2.9,2.1,0.5,NA,NA
Stan McKenzie,78.4,6.1,5.3,2.4,0.6,0.2,0.1,-0.1
