,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,26,DNR,ABA,,14,,1,,,,9,10,,,,,,,31
1968-69,27,MMF,ABA,,15,,2,,,,10,12,,,,,,,32
1969-70,28,TOT,ABA,,12,,1,,,,9,13,,,,,,,27
1969-70,28,MMF,ABA,,12,,1,,,,9,13,,,,,,,27
1969-70,28,KEN,ABA,,7,,1,,,,5,5,,,,,,,16
Career,,,,,15,,2,,,,10,13,,,,,,,32
2 Seasons,,MMF,ABA,,15,,2,,,,10,13,,,,,,,32
1 Season,,DNR,ABA,,14,,1,,,,9,10,,,,,,,31
1 Season,,KEN,ABA,,7,,1,,,,5,5,,,,,,,16
