Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,26,DNR,ABA,SF,71,NA,2495,498,1069,0.466,3,11,0.273,495,1058,0.468,0.467,166,236,0.703,NA,NA,637,64,116,200,1165
1968-69,27,MMF,ABA,SF,75,NA,2493,476,1019,0.467,4,18,0.222,472,1001,0.472,0.469,191,269,0.71,186,380,566,103,159,239,1147
1969-70,28,TOT,ABA,SF,82,NA,1759,276,596,0.463,7,17,0.412,269,579,0.465,0.469,117,154,0.76,121,331,452,66,112,201,676
1969-70,28,MMF,ABA,SF,47,NA,1321,228,478,0.477,3,10,0.3,225,468,0.481,0.48,99,126,0.786,74,237,311,56,87,133,558
1969-70,28,KEN,ABA,SF,35,NA,438,48,118,0.407,4,7,0.571,44,111,0.396,0.424,18,28,0.643,47,94,141,10,25,68,118
Career,NA,,ABA,,228,NA,6747,1250,2684,0.466,14,46,0.304,1236,2638,0.469,0.468,474,659,0.719,307,711,1655,233,387,640,2988
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MMF,ABA,,122,NA,3814,704,1497,0.47,7,28,0.25,697,1469,0.474,0.473,290,395,0.734,260,617,877,159,246,372,1705
1 season,NA,DNR,ABA,,71,NA,2495,498,1069,0.466,3,11,0.273,495,1058,0.468,0.467,166,236,0.703,NA,NA,637,64,116,200,1165
1 season,NA,KEN,ABA,,35,NA,438,48,118,0.407,4,7,0.571,44,111,0.396,0.424,18,28,0.643,47,94,141,10,25,68,118
