Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,26,DNR,ABA,SF,71,2495,18.5,0.497,0.01,0.221,NA,NA,11.9,4.1,9,19.9,NA,3.6,3.5,7,0.135
1968-69,27,MMF,ABA,SF,75,2493,14.4,0.504,0.018,0.264,NA,NA,10.6,5.8,12.3,18.8,NA,2.4,2.2,4.6,0.089
1969-70,28,TOT,ABA,SF,82,1759,12.7,0.509,0.029,0.258,NA,NA,11.5,5.2,14.4,15.9,NA,1.5,1.6,3.1,0.084
1969-70,28,MMF,ABA,SF,47,1321,14,0.523,0.021,0.264,NA,NA,10.7,5.9,14,16.9,NA,1.6,1,2.6,0.094
1969-70,28,KEN,ABA,SF,35,438,8.6,0.453,0.059,0.237,NA,NA,14.1,3,16.1,12.9,NA,-0.1,0.6,0.5,0.054
Career,NA,,ABA,,228,6747,15.5,0.502,0.017,0.246,NA,NA,11.3,5,11.5,18.4,NA,7.4,7.3,14.7,0.105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MMF,ABA,,122,3814,14.3,0.51,0.019,0.264,NA,NA,10.6,5.8,12.8,18.1,NA,4,3.2,7.2,0.091
1 season,NA,DNR,ABA,,71,2495,18.5,0.497,0.01,0.221,NA,NA,11.9,4.1,9,19.9,NA,3.6,3.5,7,0.135
1 season,NA,KEN,ABA,,35,438,8.6,0.453,0.059,0.237,NA,NA,14.1,3,16.1,12.9,NA,-0.1,0.6,0.5,0.054
