Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,26,DNR,ABA,SF,71,NA,35.1,7,15.1,0.466,0,0.2,0.273,7,14.9,0.468,0.467,2.3,3.3,0.703,NA,NA,9,0.9,1.6,2.8,16.4
1968-69,27,MMF,ABA,SF,75,NA,33.2,6.3,13.6,0.467,0.1,0.2,0.222,6.3,13.3,0.472,0.469,2.5,3.6,0.71,2.5,5.1,7.5,1.4,2.1,3.2,15.3
1969-70,28,TOT,ABA,SF,82,NA,21.5,3.4,7.3,0.463,0.1,0.2,0.412,3.3,7.1,0.465,0.469,1.4,1.9,0.76,1.5,4,5.5,0.8,1.4,2.5,8.2
1969-70,28,MMF,ABA,SF,47,NA,28.1,4.9,10.2,0.477,0.1,0.2,0.3,4.8,10,0.481,0.48,2.1,2.7,0.786,1.6,5,6.6,1.2,1.9,2.8,11.9
1969-70,28,KEN,ABA,SF,35,NA,12.5,1.4,3.4,0.407,0.1,0.2,0.571,1.3,3.2,0.396,0.424,0.5,0.8,0.643,1.3,2.7,4,0.3,0.7,1.9,3.4
Career,NA,,ABA,,228,NA,29.6,5.5,11.8,0.466,0.1,0.2,0.304,5.4,11.6,0.469,0.468,2.1,2.9,0.719,2,4.5,7.3,1,1.7,2.8,13.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MMF,ABA,,122,NA,31.3,5.8,12.3,0.47,0.1,0.2,0.25,5.7,12,0.474,0.473,2.4,3.2,0.734,2.1,5.1,7.2,1.3,2,3,14
1 season,NA,DNR,ABA,,71,NA,35.1,7,15.1,0.466,0,0.2,0.273,7,14.9,0.468,0.467,2.3,3.3,0.703,NA,NA,9,0.9,1.6,2.8,16.4
1 season,NA,KEN,ABA,,35,NA,12.5,1.4,3.4,0.407,0.1,0.2,0.571,1.3,3.2,0.396,0.424,0.5,0.8,0.643,1.3,2.7,4,0.3,0.7,1.9,3.4
