Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Richie Regan,,1.6,1.5,0.4,NA,NA
Quinn Cook,87.9,1.8,1.6,0.2,NA,NA
Sidney Lowe,86.8,1.7,1.5,0.5,0.3,NA
Rashad McCants,82.8,1.7,1.6,0.6,-0.3,NA
Steve Bracey,82.1,2.1,1.5,0.3,NA,NA
Andrew Harrison,82.1,1.7,1.6,-0.1,NA,NA
Fred LaCour,78.6,1.7,1.7,-0.1,NA,NA
Lloyd Daniels,75.2,1.8,1.1,0.2,0.1,0
Chink Crossin,74.7,2.1,1.2,0.5,NA,NA
Kevin O'Shea,74.5,2.1,1.2,0.5,NA,NA
Corky Devlin,74.0,1.8,1.2,0.8,NA,NA
