Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1955-56,25,ROC,NBA,PG,72,NA,24.3,3.3,9.5,0.352,1.2,1.8,0.639,2.4,3.1,2.5,7.8
1956-57,26,ROC,NBA,PG,71,NA,29.6,3.6,11,0.329,2.6,3.3,0.774,2.9,3.1,2.5,9.8
1957-58,27,CIN,NBA,SG,72,NA,22.9,2.8,7.9,0.355,1.7,2.4,0.698,2.4,2.6,2.4,7.3
Career,NA,,NBA,,215,NA,25.6,3.3,9.4,0.344,1.8,2.5,0.717,2.6,2.9,2.5,8.3
