Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Glenn Robinson,,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6,0.5
Jeff Green,93.8,6.6,5.2,4.8,4.7,4.2,3.9,3.6,3.3,3.1,0.7,0.2
Johnny Newman,92.7,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.3,0.3
Robert Reid,91.3,7.2,5.2,4.9,4.5,4.4,4.1,3.5,3,2.3,1.7,-0.1
Chris Morris,89.8,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1
Tom Meschery,89.5,7.5,5.2,4.8,4.6,4.4,4.1,3.7,3.1,3.1,3,NA
Harvey Grant,89.3,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7
Thurl Bailey,88.6,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2
Chuck Person,88.4,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3,2.1,1.2,0
Junior Bridgeman,88.0,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8
Sam Mitchell,87.7,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2
