Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1970-71,24,BUF,NBA,PF,1,0,4:00,0,2,0,0,0,NA,NA,0,0,NA,NA,0,0
1971-72,25,BUF,NBA,PF,1,0,7:00,1,1,1,0,0,NA,NA,1,1,NA,NA,3,2
1972-73,26,BUF,NBA,SF,1,0,9:00,1,2,0.5,1,2,0.5,NA,1,1,NA,NA,1,3
Career,NA,,NBA,,3,0,20,2,5,0.4,1,2,0.5,NA,2,2,NA,NA,4,5
