Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Bob Kauffman,,8,7.9,7.9,3.1,2,1.4,1.2,NA,NA,NA,NA
Sonny Parker,81.9,7,6.8,6.2,3,2.3,1.6,NA,NA,NA,NA,NA
Kevin Gamble,81.4,8.3,6.7,6.6,3.4,2.1,1.9,1.8,1.6,1,-0.1,NA
John Beasley,80.8,8.9,8.1,8,6.8,3.3,2,0.8,NA,NA,NA,NA
LaPhonso Ellis,80.4,8,7.6,5.2,3.6,2.2,1.9,1.4,1.1,1,0.8,0
Fred Schaus,79.7,8.5,8.4,6.8,4,3.7,NA,NA,NA,NA,NA,NA
Otto Porter,77.8,9.4,8.1,5.6,3.2,2.7,0,NA,NA,NA,NA,NA
Chandler Parsons,76.9,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA,NA
John Shumate,75.1,7.7,6.5,6.3,3.5,0.5,NA,NA,NA,NA,NA,NA
Josh Howard,75.0,8.8,8,6.7,6.4,3.5,3.2,1,0.5,0,-0.2,NA
Rich Jones,74.4,6.6,6.3,5.8,1.9,1.8,1.5,0.6,0.2,NA,NA,NA
