,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,SEA,NBA,,8,,10,14,,,,,,,,22
1969-70,23,CHI,NBA,,5,9,6,11,,,13,6,,,6,14
1970-71,24,BUF,NBA,,14,,13,15,,,,,,,,40
1971-72,25,BUF,NBA,,19,,13,13,,,,,,,,44
1972-73,26,BUF,NBA,,13,,11,11,,,,,,,,34
1973-74,27,BUF,NBA,,8,,6,8,,,,,,,,16
1974-75,28,ATL,NBA,,7,,5,7,,,,,,,,17
Career,,,,,19,,13,15,,,,,,,,44
4 Seasons,,BUF,NBA,,19,,13,15,,,,,,,,44
1 Season,,SEA,NBA,,8,,10,14,,,,,,,,22
1 Season,,ATL,NBA,,7,,5,7,,,,,,,,17
1 Season,,CHI,NBA,,5,9,6,11,,,13,6,,,6,14
