Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bob Kauffman,,8,7.9,7.9,3.1,2,1.4,1.2
Anderson Varejão,89.5,8.1,8,6.6,3,2.4,2.3,2.2
Drew Gooden,84.1,8.5,6.6,6.5,3.3,2.7,1.9,1.7
Bill Bridges,83.8,8.6,7.6,6.7,3.9,3.1,2.6,0.6
Bo Outlaw,82.4,7.6,6.8,6.1,2.5,2.3,2.3,1.8
Kevin Gamble,82.0,8.3,6.7,6.6,2.1,1.9,1,-0.1
Sonny Parker,81.9,7,6.8,6.2,3,2.3,1.6,NA
Bryon Russell,81.2,8.8,7.4,6,5.6,2.1,1.4,0.8
John Beasley,80.8,8.9,8.1,8,6.8,3.3,2,0.8
Antonio McDyess,80.1,9.4,7.8,6.2,4.2,3.6,1.8,0.8
Lamar Odom,80.0,9.2,8.4,6.5,4.7,3.2,2.2,0.7
