Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Richie Frahm,,1.5,1,0.5,-0.2,NA,NA
Dante Exum,79.3,1.2,1,0.7,-0.1,NA,NA
Cameron Payne,78.4,1.4,0.8,0.5,-0.3,NA,NA
Norris Cole,75.8,1.4,1.2,0.6,0,-0.1,-0.1
Sean Kilpatrick,75.8,1.4,1,0.1,0.1,NA,NA
Steve Alford,74.0,1.4,0.9,0.6,0.3,NA,NA
Mike Flynn,73.2,1.7,0.8,0.3,NA,NA,NA
Chris Smith,72.1,1.2,1.1,0.9,NA,NA,NA
Tommy Kron,71.9,1.3,0.8,0.8,-0.3,NA,NA
Mel Peterson,71.9,1.3,1,0,-0.2,NA,NA
Richie Regan,71.6,1.6,1.5,0.4,NA,NA,NA
