Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Richie Frahm,,1.5,1,0.5,-0.2
Slick Leonard,85.2,1.5,1.3,0.4,-0.1
Patty Mills,83.9,1.5,0.9,0.7,0
Norris Cole,81.4,1.4,1.2,0.6,0
Dante Exum,79.3,1.2,1,0.7,-0.1
Howard Komives,78.7,1.5,1,0.7,0.3
Cameron Payne,78.4,1.4,0.8,0.5,-0.3
John Jenkins,77.4,1.7,0.9,0.2,-0.1
Chris Douglas-Roberts,75.9,1.6,0.7,0.6,0.1
Antoine Wright,75.9,1.4,1.2,0.8,-0.5
Isaiah Canaan,75.8,1.4,1.4,0.5,0.2
