,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,19,CHS,BAA,,0,6,0,0,,0,1,0
1949-50,20,CHS,NBA,,1,7,2,2,,0,2,4
1951-52,22,INO,NBA,,12,,5,8,,,4,29
1952-53,23,INO,NBA,,8,,6,6,,0,4,22
1955-56,26,PHW,NBA,,14,27,6,6,16,7,6,29
1956-57,27,PHW,NBA,,8,26,6,7,14,4,4,19
1957-58,28,PHW,NBA,,10,26,3,4,15,8,4,23
1959-60,30,PHW,NBA,,4,13,3,4,8,3,5,10
1960-61,31,PHW,NBA,,0,0,0,0,0,0,0,0
1961-62,32,TOT,NBA,,1,3,1,1,3,0,2,2
1961-62,32,SYR,NBA,,1,3,1,1,3,0,2,2
Career,,,TOT,,14,,6,8,,,6,29
,,,NBA,,14,,6,8,,,6,29
,,,BAA,,0,6,0,0,,0,1,0
,,,,,,,,,,,,
5 Seasons,,PHW,NBA,,14,27,6,7,16,8,6,29
2 Seasons,,INO,NBA,,12,,6,8,,,4,29
1 Season,,SYR,NBA,,1,3,1,1,3,0,2,2
2 Seasons,,CHS,BAA,,1,7,2,2,,0,2,4
