Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Chris Singleton,,1.5,0.5,0.2,NA,NA
Ron Riley,89.6,1.6,0.7,0.2,0,NA
Chris McNealy,87.7,1.6,0.8,0.2,NA,NA
Jim Holstein,86.9,1.8,0.6,0.2,NA,NA
Mario Bennett,85.1,1.5,0.5,0,-0.1,NA
Ron Bonham,83.7,1.8,0.7,0.2,NA,NA
Kornél Dávid,83.6,1.7,0.4,0.3,NA,NA
Red Morrison,80.8,1.7,0.5,0,NA,NA
Joe Holland,80.4,1.2,0.6,0.2,NA,NA
Bob McCann,79.0,1.3,0.6,0.1,0.1,0
Lou Tsioropoulos,78.6,1.4,0.7,0,NA,NA
