Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Charles Pittman,,1.7,1.5,0.9,0.1
Jan Veselý,91.5,1.7,1.6,0.7,NA
Andrew Nicholson,90.8,1.7,1.6,0.6,0.1
Rafael Addison,90.7,1.5,1.5,0.9,0.4
Brian Scalabrine,89.3,1.7,1.4,1,-0.1
Anthony Randolph,88.5,1.6,1.5,1.1,0.5
Jarvis Hayes,86.9,1.7,1.5,0.7,0.5
Taurean Waller-Prince,86.9,2,1.5,1.1,NA
Thomas Robinson,86.9,1.6,1.5,0.6,-0.1
Solomon Jones,86.8,1.9,1.6,0.8,0
Bob Brannum,84.8,2,1.6,0.8,0
