Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Shabazz Muhammad,,2.7,2.7,2,0.7,0.3,NA,NA,NA
Bruce Seals,88.2,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
Kenny Williams,86.7,2.7,2.4,1.6,0.7,NA,NA,NA,NA
Solomon Hill,85.6,3.5,2.7,2.1,0.5,0.4,-0.1,NA,NA
Ronald Thomas,85.0,2.7,2,1.8,0.8,NA,NA,NA,NA
Renaldo Balkman,83.9,2.8,2.6,1.3,0.3,0.1,0,NA,NA
Cal Christensen,82.8,3.2,2.9,1.7,0.4,0,NA,NA,NA
Mickey Davis,82.2,3.4,2.6,2.3,0.4,0.3,-0.1,NA,NA
Ira Newble,81.9,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1
Joel Kramer,80.5,3,2.9,1.4,1,0.8,NA,NA,NA
Lamar Green,80.3,2.4,2,1.9,0.5,0.4,0.2,NA,NA
