Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Juan Hernangómez,,3,1.8,0.4,NA,NA,NA,NA
Cheick Diallo,89.0,2.6,1.9,0.5,NA,NA,NA,NA
Stanislav Medvedenko,85.6,3,1.8,0.5,0.4,0.2,0.1,0
Paul Graham,85.2,3.6,1.9,0.2,NA,NA,NA,NA
Derrick Jones,83.6,2.9,1.1,0.4,NA,NA,NA,NA
Charlie Black,82.7,2.8,1.8,-0.4,NA,NA,NA,NA
Dorian Finney-Smith,82.5,3.3,1.4,0.1,NA,NA,NA,NA
Carey Scurry,82.4,2.6,1.8,0.9,NA,NA,NA,NA
Dave Sorenson,82.4,2.6,2.1,0.7,NA,NA,NA,NA
Jim Palmer,81.9,2.4,1.9,0.2,NA,NA,NA,NA
Dave Lattin,81.8,3.2,2,0.6,0.4,0.2,NA,NA
