Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Clifford Ray,,8.7,8.2,8.1,7,6.9,6.7,5.7,3.8,1.9,-0.3
Swen Nater,93.3,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,-0.1
Mehmet Okur,91.8,9.3,8.8,7.4,7,6.7,5.9,5.6,3.8,0.2,0
Marcin Gortat,90.9,8.6,8.1,7.6,7.3,6.8,6.4,3.4,3.4,3.3,0.1
Brook Lopez,90.0,9,7.9,7,6.3,6.2,5.8,4.9,3.8,2.3,0.3
Tom Owens,90.0,10.4,8.3,8,6.9,6.9,6,4.8,2.9,2.5,0.9
Jim Eakins,89.7,9,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9
Zydrunas Ilgauskas,89.3,9.4,8.7,8.1,7.8,6.6,6.1,5,2.5,0.7,0.5
Al Jefferson,88.0,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.6,2.7,2.3
Joakim Noah,87.6,11.2,9,7.3,6.7,6.4,6.2,5.6,3.8,2.2,1.1
Greg Monroe,85.9,7.5,7,6.8,6.6,5.9,5.9,5.6,3.4,1.1,NA
