,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2006-07,22,NYK,NBA,SF,52,777,4%,62%,34%,,,-6.0,-3.2,24,11,23,10,31,3,192,6,14
2007-08,23,NYK,NBA,SG,46,634,4%,53%,42%,1%,,-11.2,-4.6,32,12,25,5,18,1,202,5,15
2008-09,24,TOT,NBA,PG-SG,48,890,47%,41%,12%,,,-3.9,+2.6,35,12,41,7,21,3,250,6,31
2008-09,24,NYK,NBA,SG,9,75,,23%,75%,2%,,-4.5,-1.8,3,2,4,0,5,0,27,1,5
2008-09,24,LAC,NBA,PG,39,815,51%,43%,6%,,,-3.8,+7.7,32,10,37,7,16,3,223,5,26
2009-10,25,LAC,NBA,SG,43,470,18%,59%,23%,,,-10.5,-3.9,24,5,25,1,10,5,95,3,7
Career,,,NBA,,189,2771,20%,53%,27%,,,-7.3,-1.8,115,40,114,23,80,12,739,20,67
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,107,1486,4%,56%,39%,1%,,-8.2,-3.7,59,25,52,15,54,4,421,12,34
2 seasons,,LAC,NBA,,82,1285,39%,49%,12%,,,-6.3,+3.5,56,15,62,8,26,8,318,8,33
