,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22,SEA,NBA,,9,,,,,,7,9,,,,,,,20
1969-70,23,SEA,NBA,,1,,,,,,2,2,,,,,,,2
1970-71,24,PTC,ABA,,9,,1,,,,14,18,,,,,,,23
Career,,,TOT,,9,,,,,,14,18,,,,,,,23
,,,NBA,,9,,,,,,7,9,,,,,,,20
,,,ABA,,9,,1,,,,14,18,,,,,,,23
,,,,,,,,,,,,,,,,,,,
2 Seasons,,SEA,NBA,,9,,,,,,7,9,,,,,,,20
1 Season,,PTC,ABA,,9,,1,,,,14,18,,,,,,,23
