Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Joe Kennedy,,0.5,0.3,-0.6,NA
Riney Lochmann,-1.7,0.4,0.3,-0.2,NA
Josh Davis,-7.6,0.5,0.3,0,0
DeAndre' Bembry,-9.0,0.9,0.3,-0.4,NA
Justin Reed,-10.1,0.4,0.3,-0.2,NA
Anthony Cook,-10.6,0.5,0.4,0.1,0.1
Alex Poythress,-12.0,0.5,0.3,0.1,NA
Roderick McDonald,-16.6,0.5,0.5,0.2,NA
Ron Grandison,-18.1,0.6,0.5,0,0
Scott Roth,-18.5,0.7,0.3,0.1,NA
Gene James,-19.2,0.5,0.3,0.1,NA
