Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Pete Maravich,,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,NA,NA,NA,NA
Michael Adams,90.4,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,NA,NA,NA
Ty Lawson,89.9,7.4,7,6.9,6.7,6.3,3.7,3.2,0.9,NA,NA,NA,NA,NA,NA
Brian Taylor,89.2,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA,NA,NA,NA
Klay Thompson,88.5,8.8,8,7.1,6.7,5.3,4.9,4.3,1.7,NA,NA,NA,NA,NA,NA
Freddie Lewis,88.0,7.6,7.5,7.3,7.2,6.2,6,5.2,3.2,3,0.5,0,NA,NA,NA
Norm Van Lier,87.7,7.7,7.7,6,5.6,5.5,5.2,3.8,3.2,2.1,1.1,NA,NA,NA,NA
Tom Gola,87.6,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,NA,NA,NA,NA
Jeff Teague,87.6,8.1,7.7,6.1,6,5.9,5.2,4.9,2.2,1.7,0.6,NA,NA,NA,NA
Darrell Armstrong,87.0,8.7,8,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0
Jerry Sloan,86.0,7.2,7,6.8,6.5,6.4,6,2.9,2.6,1.9,1.4,0.9,NA,NA,NA
