Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Pete Maravich,,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1
Michael Adams,91.1,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,-0.1
Brad Davis,90.3,7.4,7.3,6.2,6.2,5.4,4.2,3.9,0.6,0.6,0.3
Ty Lawson,89.9,7.4,7,6.9,6.7,6.3,3.7,3.2,0.9,NA,NA
Brian Taylor,89.2,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1
Vern Fleming,88.7,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.4
Klay Thompson,88.5,8.8,8,7.1,6.7,5.3,4.9,4.3,1.7,NA,NA
Freddie Lewis,88.4,7.6,7.5,7.3,7.2,6.2,6,5.2,3.2,3,0
Latrell Sprewell,87.8,8.1,8,6.6,5.5,5.1,4,3,2.8,2,0.4
Norm Van Lier,87.7,7.7,7.7,6,5.6,5.5,5.2,3.8,3.2,2.1,1.1
Jeff Teague,87.6,8.1,7.7,6.1,6,5.9,5.2,4.9,2.2,1.7,0.6
