Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tom Marshall,,3.5,0.7,0.2,-0.3
Archie Dees,84.2,3.7,0.7,0.4,NA
Giff Roux,75.8,3.4,0.8,-0.5,NA
Richard Dumas,75.1,3.9,0.3,0.3,NA
Dorian Finney-Smith,73.9,3.3,1.4,0.1,NA
Dick Schulz,71.2,2.9,0.8,0.6,0
Dennis Hamilton,69.1,2.8,0.7,0.5,0
Paul Graham,68.9,3.6,1.9,0.2,NA
Derrick Jones,68.3,2.9,1.1,0.4,NA
Kenny Fields,67.5,2.8,0.7,0.7,0
Charles Jones,65.5,2.9,0.9,0.6,0.1
