Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jahlil Okafor,,2.2,1.2,1.2,0.6
Predrag Drobnjak,86.6,2.4,1.6,1,0.7
Jake Tsakalidis,83.8,2.8,1.3,1.2,0.9
Steven Hunter,82.3,2.6,1,0.9,0.6
Joffrey Lauvergne,81.5,2.3,1.5,1.3,0.1
Chris Mihm,81.1,2.9,1.3,0.9,0.7
Harvey Catchings,79.6,2.3,1.7,1.4,1.2
Marc Jackson,79.3,2.6,2,1.3,0.6
Charlie Tyra,78.9,2.3,1.5,1.1,-0.2
Kendrick Perkins,78.7,2.3,1.4,0.7,0.1
Luther Rackley,77.3,1.9,1.8,1.3,0.8
