Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jahlil Okafor,,2.2,1.2,1.2,0.6,NA,NA,NA,NA
Predrag Drobnjak,86.6,2.4,1.6,1,0.7,NA,NA,NA,NA
Charlie Tyra,83.6,2.3,1.5,1.1,0.2,-0.2,NA,NA,NA
Joffrey Lauvergne,81.5,2.3,1.5,1.3,0.1,NA,NA,NA,NA
Bob Christian,77.9,2.4,1.9,0.9,0.5,0,NA,NA,NA
George Nostrand,76.7,2,2,1.3,0.4,NA,NA,NA,NA
Luther Rackley,75.8,1.9,1.8,1.3,0.8,0.1,NA,NA,NA
Jeff Withey,74.3,2.3,1.8,1.8,0.8,0,NA,NA,NA
Jelani McCoy,71.9,1.5,1.4,1.1,1,0.1,0,0,0
Rickey Brown,69.4,1.8,0.9,0.9,0.7,0.4,NA,NA,NA
Greg Stiemsma,68.4,2.7,1.7,1.5,0.1,NA,NA,NA,NA
