Season,Team,Lg,Salary
1998-99,Philadelphia 76ers,NBA,"$1,330,000"
1999-00,Golden State Warriors,NBA,"$1,722,240"
2000-01,Golden State Warriors,NBA,"$1,842,480"
2001-02,Golden State Warriors,NBA,"$2,343,635"
2002-03,Washington Wizards,NBA,"$4,546,000"
2003-04,Washington Wizards,NBA,"$5,000,600"
2004-05,Washington Wizards,NBA,"$5,455,200"
2005-06,Cleveland Cavaliers,NBA,"$10,344,900"
2006-07,Cleveland Cavaliers,NBA,"$13,363,012"
2007-08,Chicago Bulls,NBA,"$12,000,084"
2008-09,New York Knicks,NBA,"$12,827,676"
2009-10,Sacramento Kings,NBA,"$13,655,268"
2011-12,Orlando Magic,NBA,"$414,443"
Career,(may be incomplete),,"$84,845,538"
