Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Larry Hughes,,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5,NA
Jon Barry,85.5,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
Brevin Knight,84.4,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.7,0.2,NA,NA
Gerald Henderson,82.9,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0,NA
Eric Piatkowski,82.9,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2,1.2,0.9,0.1,0.1,0
Steve Blake,82.8,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1,0.7,0.3,NA
Leandro Barbosa,82.5,8.2,5.5,5,3.8,2.8,2.1,1.9,1.8,1.7,1.5,1.1,0.9,0.6,0.4
John Salmons,82.4,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1,NA
Guy Rodgers,81.4,6.2,4.8,4.3,4,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,NA,NA
Beno Udrih,81.3,7.2,5.5,3.6,3.1,2.4,2.2,1.4,1.3,1.3,1.2,1,0.8,0.4,NA
Damon Jones,81.0,8.7,3.9,3.4,3,2.4,1.9,1.8,1.5,0.7,0.7,0,NA,NA,NA
