Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Joffrey Lauvergne,,2.3,1.5,1.3,0.1,NA
Charlie Tyra,90.1,2.3,1.5,1.1,0.2,-0.2
Greg Stiemsma,85.4,2.7,1.7,1.5,0.1,NA
Festus Ezeli,84.5,2.7,1.7,1.5,NA,NA
Jahlil Okafor,81.5,2.2,1.2,1.2,0.6,NA
Predrag Drobnjak,81.1,2.4,1.6,1,0.7,NA
George Nostrand,80.1,2,2,1.3,0.4,NA
Bob Christian,77.4,2.4,1.9,0.9,0.5,0
Jeff Withey,74.1,2.3,1.8,1.8,0.8,0
Luther Rackley,73.0,1.9,1.8,1.3,0.8,0.1
Clifford Rozier,71.1,1.6,1.3,1.1,-0.1,NA
