Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Curtis Perry,,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2
Ed Pinckney,90.2,7.5,6.2,6.1,4.7,2.9,2.7,2.3,0.3
Kenny Carr,89.9,6.7,5.8,5.1,3.8,2.9,2.1,1.1,0
Matt Harpring,88.0,8.8,6.1,5.5,4.7,2.8,2.6,2.6,0.2
M.L. Carr,87.8,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8
Jamal Mashburn,87.7,7.3,6.4,6.3,4.1,3.6,1.8,0.9,0.2
Jay Vincent,87.4,6.5,6,5.6,3.4,2.8,1.9,1.1,-0.3
Mitch Kupchak,87.2,5.9,5.9,5.2,4.9,2.4,1.4,0.2,0
Jae Crowder,86.9,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA
Jeff Foster,86.8,8.3,5.7,5.4,4.5,4.2,2.7,1.6,0.6
Kurt Thomas,86.7,8.2,6.5,5.4,5.2,3.8,2.5,0.5,-0.2
